link,song,group
https://www.lyrics.com/lyric/19505726/Alicia+Keys/How+Come+You+Don%27t+Call+Me,How Come You Don't Call Me,Alicia Keys
https://www.lyrics.com/lyric/19505725/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/19505724/Alicia+Keys/Troubles,Troubles,Alicia Keys
https://www.lyrics.com/lyric/19505723/Alicia+Keys/Rock+Wit+U,Rock Wit U,Alicia Keys
https://www.lyrics.com/lyric/19505722/Alicia+Keys/A+Woman%27s+Worth,A Woman's Worth,Alicia Keys
https://www.lyrics.com/lyric/19505721/Alicia+Keys/Jane+Doe,Jane Doe,Alicia Keys
https://www.lyrics.com/lyric/19505720/Alicia+Keys/Goodbye,Goodbye,Alicia Keys
https://www.lyrics.com/lyric/19505719/Alicia+Keys/The+Life,The Life,Alicia Keys
https://www.lyrics.com/lyric/19505718/Alicia+Keys/Mr.+Man,Mr. Man,Alicia Keys
https://www.lyrics.com/lyric/19505717/Alicia+Keys/Never+Felt+This+Way+%5BInterlude%5D,Never Felt This Way [Interlude],Alicia Keys
https://www.lyrics.com/lyric/19505716/Alicia+Keys/Butterflyz,Butterflyz,Alicia Keys
